PDCODE;SALEDATE;CLIENTCODE;QTY;UNITVAL;TOTALVAL
002;24/11/2020;014;3;27.2;81.6
017;24/11/2020;014;5;10.2;51
030;27/11/2020;010;1;51;51
002;27/11/2020;010;6;27.2;163.2
029;28/11/2020;015;1;12.75;12.75
002;28/11/2020;015;1;27.2;27.2
015;28/11/2020;015;1;12.75;12.75
023;28/11/2020;015;1;11.9;11.9
021;28/11/2020;015;1;40;40
017;28/11/2020;015;1;10.2;10.2
002;01/12/2020;014;1;30.4;30.4
017;01/12/2020;014;1;39;39
016;01/12/2020;014;4;13.3;53.2
002;02/12/2020;008;6;30.4;182.4
030;03/12/2020;010;1;51;51
002;03/12/2020;010;6;27.2;163.2
002;03/12/2020;016;1;27.2;27.2
002;04/12/2020;018;6;27.2;163.2
002;04/12/2020;011;2;27.2;54.4
002;04/12/2020;019;2;27.2;54.4
002;04/12/2020;017;2;27.2;54.4
002;05/12/2020;013;10;27.2;272
014;09/12/2020;001;1;39;39
012;09/12/2020;001;1;22;22
001;09/12/2020;001;2;17;34
003;09/12/2020;001;1;29;29
002;18/12/2020;020;18;27.2;489.6
002;18/12/2020;016;1;27.2;27.2
029;22/12/2020;014;6;14.42;86.52
002;22/12/2020;008;30;27.68;830.4
002;22/12/2020;021;10;30.2;302
001;22/12/2020;014;6;14.45;86.7
017;22/12/2020;014;6;10.2;61.2
002;06/01/2021;010;4;27.2;108.8
002;07/01/2021;020;8;27.2;217.6
002;07/01/2021;013;4;27.2;108.8
002;07/01/2021;013;4;27.2;108.8
002;12/01/2021;020;12;27.2;326.4
029;13/01/2021;022;3;12.75;38.25
002;13/01/2021;022;6;27.2;163.2
062;14/01/2021;012;1;11.9;11.9
025;14/01/2021;012;1;31.05;31.05
002;14/01/2021;016;2;27.2;54.4
002;14/01/2021;012;2;27.2;54.4
015;14/01/2021;012;1;12.75;12.75
028;14/01/2021;012;1;13.6;13.6
021;14/01/2021;012;1;17;17
017;14/01/2021;012;4;10.2;40.8
002;18/01/2021;018;10;27.2;272
002;19/01/2021;016;1;27.2;27.2
063;25/01/2021;014;5;11.9;59.5
029;25/01/2021;014;6;15;90
002;25/01/2021;020;12;27.2;326.4
001;25/01/2021;014;6;14.45;86.7
017;25/01/2021;014;6;10.2;61.2
002;29/01/2021;011;10;27.2;272
029;03/02/2021;010;4;12.75;51
002;03/02/2021;020;12;27.2;326.4
002;03/02/2021;010;6;27.2;163.2
012;06/02/2021;001;6;18.7;112.2
001;06/02/2021;001;6;14.45;86.7
003;06/02/2021;001;4;24.65;98.6
029;08/02/2021;014;6;12.75;76.5
002;08/02/2021;014;2;27.2;54.4
001;08/02/2021;014;10;14.45;144.5
002;10/02/2021;023;4;32;128
002;11/02/2021;008;5;27.2;136
063;12/02/2021;014;6;11.9;71.4
002;12/02/2021;011;10;27.2;272
029;17/02/2021;014;5;15;75
002;17/02/2021;014;2;27.2;54.4
001;17/02/2021;014;11;15.3;168.3
029;18/02/2021;010;4;12.75;51
002;18/02/2021;013;10;27.2;272
002;18/02/2021;011;10;27.2;272
002;18/02/2021;010;6;27.2;163.2
002;19/02/2021;008;6;29.6;177.6
029;22/02/2021;022;2;15.75;31.5
002;22/02/2021;022;2;27.2;54.4
029;23/02/2021;024;3;15;45
012;23/02/2021;024;3;22;66
021;23/02/2021;024;2;17;34
029;24/02/2021;016;1;12.75;12.75
002;24/02/2021;016;2;27.2;54.4
029;26/02/2021;025;4;12.75;51
002;26/02/2021;025;25;27.2;680
002;26/02/2021;020;10;27.2;272
014;26/02/2021;001;3;49.38;148.14
012;26/02/2021;025;5;14.45;72.25
001;26/02/2021;001;2;14.45;28.9
065;26/02/2021;025;4;12.75;51
003;26/02/2021;001;3;24.65;73.95
001;02/03/2021;001;2;17;34
027;02/03/2021;001;1;39;39
002;04/03/2021;010;6;27.2;163.2
002;06/03/2021;020;10;27.2;272
002;06/03/2021;008;5;27.2;136
002;09/03/2021;008;7;25.6;179.2
002;10/03/2021;013;5;27.2;136
002;10/03/2021;016;2;27.2;54.4
002;11/03/2021;013;5;27.2;136
029;12/03/2021;026;10;14.03;140.3
025;12/03/2021;026;10;11.9;119
002;12/03/2021;026;25;29.92;748
015;12/03/2021;026;4;14.03;56.12
065;12/03/2021;026;10;14.03;140.3
022;12/03/2021;026;5;8;40
021;12/03/2021;026;8;15.9;127.2
017;12/03/2021;026;4;11.22;44.88
029;17/03/2021;010;4;12.75;51
002;17/03/2021;008;6;27.2;163.2
002;17/03/2021;010;6;27.2;163.2
002;17/03/2021;028;5;27.2;136
002;17/03/2021;020;4;27.2;108.8
015;17/03/2021;028;15;13.75;206.25
013;17/03/2021;028;5;34;170
029;19/03/2021;010;3;12.75;38.25
002;19/03/2021;012;2;27.2;54.4
015;19/03/2021;012;1;12.75;12.75
017;19/03/2021;012;3;10.2;30.6
016;19/03/2021;012;1;11.9;11.9
029;20/03/2021;029;1;12.75;12.75
002;20/03/2021;020;6;27.2;163.2
002;20/03/2021;029;1;27.2;27.2
013;20/03/2021;029;1;34;34
066;20/03/2021;026;40;48.3;1932
065;20/03/2021;029;1;12.75;12.75
021;20/03/2021;029;1;14.45;14.45
063;23/03/2021;014;4;11.9;47.6
029;23/03/2021;014;6;12.75;76.5
002;23/03/2021;016;2;27.2;54.4
001;23/03/2021;014;6;14.45;86.7
065;23/03/2021;014;6;12.75;76.5
002;24/03/2021;016;2;27.2;54.4
002;25/03/2021;013;5;27.2;136
002;28/03/2021;008;5;27.2;136
002;31/03/2021;020;10;27.2;272
002;31/03/2021;018;5;27.2;136
029;01/04/2021;026;10;12.75;127.5
025;01/04/2021;026;10;17;170
002;01/04/2021;026;20;27.2;544
002;01/04/2021;008;5;27.2;136
002;01/04/2021;013;5;27.2;136
015;01/04/2021;026;10;12.75;127.5
029;03/04/2021;030;1;12.75;12.75
002;03/04/2021;030;7;27.2;190.4
002;03/04/2021;016;2;27.2;54.4
015;03/04/2021;030;3;12.75;38.25
023;03/04/2021;030;5;14;70
029;06/04/2021;010;4;12.75;51
002;06/04/2021;010;6;27.2;163.2
001;06/04/2021;014;5;14.45;72.25
065;06/04/2021;014;2;12.75;25.5
003;06/04/2021;014;1;24.65;24.65
029;09/04/2021;032;6;13.5;81
029;09/04/2021;031;1;16.55;16.55
025;09/04/2021;032;2;18;36
002;09/04/2021;031;4;35.3;141.2
002;09/04/2021;020;5;27.2;136
018;09/04/2021;032;2;40.95;81.9
015;09/04/2021;032;2;13.5;27
014;09/04/2021;032;1;40.5;40.5
012;09/04/2021;032;4;19.8;79.2
001;09/04/2021;032;10;15.3;153
065;09/04/2021;031;1;16.55;16.55
027;09/04/2021;032;2;35.49;70.98
021;09/04/2021;032;4;15.3;61.2
002;10/04/2021;020;5;27.2;136
002;12/04/2021;028;5;27.2;136
015;12/04/2021;028;6;12.75;76.5
013;12/04/2021;028;5;34;170
071;14/04/2021;030;10;36;360
002;14/04/2021;008;6;27.2;163.2
002;14/04/2021;014;2;27.2;54.4
001;14/04/2021;014;8;14.45;115.6
072;14/04/2021;030;2;47.95;95.9
070;14/04/2021;030;2.5;42.35;105.875
029;15/04/2021;026;18;12.75;229.5
025;15/04/2021;026;12;17;204
002;15/04/2021;026;20;30.4;608
017;15/04/2021;026;6;10.2;61.2
029;19/04/2021;010;4;12.75;51
002;19/04/2021;020;10;27.2;272
002;19/04/2021;010;6;27.2;163.2
002;19/04/2021;013;4;27.2;108.8
029;21/04/2021;022;5;12.75;63.75
029;21/04/2021;014;3;12.75;38.25
002;21/04/2021;022;7;28.35;198.45
002;21/04/2021;008;6;27.2;163.2
015;21/04/2021;022;3;12.75;38.25
001;21/04/2021;014;10;14.45;144.5
065;21/04/2021;014;3;12.75;38.25
017;21/04/2021;014;3;10.2;30.6
002;23/04/2021;016;2;27.2;54.4
029;24/04/2021;026;20;13.5;270
029;24/04/2021;033;2;14.1;28.2
002;24/04/2021;026;30;28.8;864
002;24/04/2021;020;10;27.2;272
002;24/04/2021;033;2;30.08;60.16
014;24/04/2021;001;1;39;39
013;24/04/2021;033;1;37.6;37.6
012;24/04/2021;033;1;20.68;20.68
001;24/04/2021;001;4;15.3;61.2
001;24/04/2021;033;1;15.98;15.98
003;24/04/2021;001;3;26.1;78.3
025;28/04/2021;034;1;17;17
002;28/04/2021;034;3;27.2;81.6
015;28/04/2021;034;1;12.75;12.75
013;28/04/2021;034;2;34;68
023;28/04/2021;034;2;11.9;23.8
021;28/04/2021;034;1;14.45;14.45
019;28/04/2021;034;1;10.2;10.2
029;29/04/2021;030;3;12.75;38.25
002;29/04/2021;008;5;28.9;144.5
002;29/04/2021;030;5;27.2;136
015;29/04/2021;030;6;18.6;111.6
002;30/04/2021;020;10;28.9;289
002;05/05/2021;011;10;28.9;289
029;06/05/2021;010;3;12.83;38.49
002;06/05/2021;010;5;27.2;136
002;06/05/2021;033;2;28.9;57.8
001;06/05/2021;033;1;14.45;14.45
029;07/05/2021;026;10;12.75;127.5
025;07/05/2021;028;35;18;630
002;07/05/2021;026;40;28.9;1156
002;07/05/2021;031;4;37;148
002;07/05/2021;028;4;30.6;122.4
015;07/05/2021;028;12;14.4;172.8
013;07/05/2021;028;4;36;144
065;07/05/2021;031;1;16.3;16.3
021;07/05/2021;031;1;18.5;18.5
002;09/05/2021;020;10;28.9;289
002;09/05/2021;008;6;28.9;173.4
029;12/05/2021;030;2;12.75;25.5
029;12/05/2021;014;2;12.75;25.5
025;12/05/2021;026;6;17;102
002;12/05/2021;026;6;27.2;163.2
002;12/05/2021;030;5;28.9;144.5
002;12/05/2021;016;2;28.9;57.8
002;12/05/2021;026;2;27.2;54.4
015;12/05/2021;026;6;13.6;81.6
001;12/05/2021;014;8;16.15;129.2
065;12/05/2021;014;2;12.75;25.5
023;12/05/2021;030;5;12.75;63.75
017;12/05/2021;026;6;11.9;71.4
017;12/05/2021;030;4;11.9;47.6
017;12/05/2021;014;2;11.9;23.8
016;12/05/2021;026;6;12.75;76.5
002;13/05/2021;026;40;28.73;1149.2
002;17/05/2021;008;4;28.9;115.6
002;18/05/2021;020;10;28.9;289
002;18/05/2021;016;2;28.9;57.8
050;19/05/2021;001;1;25.52;25.52
029;19/05/2021;010;3;12.75;38.25
002;19/05/2021;010;6;28.9;173.4
002;19/05/2021;008;6;28.9;173.4
014;19/05/2021;001;1;39.6;39.6
012;19/05/2021;001;1;19.36;19.36
001;19/05/2021;001;3;16.72;50.16
027;19/05/2021;001;2;33.15;66.3
003;19/05/2021;001;1;25.52;25.52
029;26/05/2021;036;1;21;21
002;26/05/2021;020;10;28.9;289
002;26/05/2021;016;2;28.9;57.8
012;26/05/2021;035;4;18.7;74.8
001;26/05/2021;035;5;16.15;80.75
001;26/05/2021;036;1;25;25
065;26/05/2021;035;6;12.75;76.5
071;27/05/2021;013;8.1175;40;324.7
071;27/05/2021;033;2;36.13;72.26
029;27/05/2021;010;4;12.75;51
029;27/05/2021;022;2;16.75;33.5
025;27/05/2021;038;1;17;17
002;27/05/2021;010;4;28.9;115.6
002;27/05/2021;037;3;30.6;91.8
002;27/05/2021;022;2;28.9;57.8
002;27/05/2021;038;2;28.9;57.8
029;28/05/2021;026;8;13.89;111.12
002;28/05/2021;026;12;31.48;377.76
002;28/05/2021;031;7;32.64;228.48
002;28/05/2021;039;7;30.86;216.02
015;28/05/2021;039;14;14.52;203.28
013;28/05/2021;039;5;36.3;181.5
065;28/05/2021;031;2;14.4;28.8
021;28/05/2021;039;2;15.43;30.86
021;28/05/2021;031;1;25;25
002;29/05/2021;008;4;28.9;115.6
002;29/05/2021;008;2;28.9;57.8
001;29/05/2021;035;6;16.5;99
029;01/06/2021;039;7;12.75;89.25
002;01/06/2021;020;10;28.9;289
002;01/06/2021;034;3;35.57;106.71
063;02/06/2021;026;6;14.32;85.92
062;02/06/2021;026;10;14.32;143.2
029;02/06/2021;030;2;12.75;25.5
025;02/06/2021;026;24;17.9;429.6
002;02/06/2021;008;6;28.9;173.4
002;02/06/2021;030;5;28.9;144.5
002;02/06/2021;033;2;28.9;57.8
015;02/06/2021;026;18;14.32;257.76
012;02/06/2021;026;6;19.69;118.14
001;02/06/2021;033;1;28.15;28.15
017;02/06/2021;026;18;12.53;225.54
017;02/06/2021;030;5;11.9;59.5
029;03/06/2021;040;3;12.75;38.25
001;03/06/2021;040;4;16.15;64.6
065;03/06/2021;040;3;12.75;38.25
012;06/06/2021;035;4;20.29;81.16
065;06/06/2021;035;8;13.83;110.64
029;07/06/2021;010;4;12.75;51
029;07/06/2021;034;2;12.75;25.5
002;07/06/2021;010;5;28.9;144.5
002;07/06/2021;034;4;28.9;115.6
013;07/06/2021;034;4;34;136
065;07/06/2021;034;2;12.75;25.5
025;08/06/2021;034;1;20;20
002;08/06/2021;016;2;28.9;57.8
029;09/06/2021;041;4;15.3;61.2
001;09/06/2021;041;8;19.5;156
021;09/06/2021;041;6;17.35;104.1
076;10/06/2021;014;3;20;60
071;10/06/2021;014;1;40;40
029;10/06/2021;014;3;12.75;38.25
002;10/06/2021;008;6;28.9;173.4
002;10/06/2021;013;5;28.9;144.5
002;10/06/2021;033;1;34;34
001;10/06/2021;014;6;16.15;96.9
001;10/06/2021;033;1;19;19
065;10/06/2021;014;3;12.75;38.25
017;10/06/2021;014;3;11.9;35.7
060;11/06/2021;044;2;14.4;28.8
029;11/06/2021;026;8;13.5;108
002;11/06/2021;026;16;30.6;489.6
002;11/06/2021;044;10;31.28;312.8
015;11/06/2021;044;2;14.4;28.8
013;11/06/2021;044;5;36;180
028;11/06/2021;044;2;14.4;28.8
021;11/06/2021;026;6;15.3;91.8
021;11/06/2021;044;2;15.3;30.6
017;11/06/2021;044;2;12.6;25.2
071;14/06/2021;014;1;182.9;182.9
001;14/06/2021;035;8;16.15;129.2
001;14/06/2021;014;6;19;114
029;17/06/2021;010;2;12.75;25.5
002;17/06/2021;020;10;28.9;289
002;17/06/2021;008;5;28.9;144.5
002;17/06/2021;010;5;28.9;144.5
002;17/06/2021;045;4;28.9;115.6
029;18/06/2021;026;10;13.5;135
002;18/06/2021;026;20;30.6;612
002;18/06/2021;016;1;28.9;28.9
002;22/06/2021;020;15;28.9;433.5
002;22/06/2021;046;2;28.9;57.8
071;24/06/2021;014;1;40;40
060;24/06/2021;001;1;16;16
029;24/06/2021;014;3;12.75;38.25
002;24/06/2021;018;5;28.9;144.5
002;24/06/2021;033;2;28.9;57.8
002;24/06/2021;014;1;34;34
013;24/06/2021;033;1;34;34
012;24/06/2021;001;2;22;44
001;24/06/2021;001;2;19;38
001;24/06/2021;033;1;16.15;16.15
065;24/06/2021;014;3;12.75;38.25
028;24/06/2021;001;1;16;16
027;24/06/2021;001;1;39;39
029;25/06/2021;022;6;14.1;84.6
002;25/06/2021;022;12;31.96;383.52
002;25/06/2021;008;4;28.9;115.6
012;25/06/2021;035;6;18.7;112.2
001;25/06/2021;035;8;16.15;129.2
065;25/06/2021;035;6;12.75;76.5
002;29/06/2021;026;20;28.9;578
002;29/06/2021;020;15;28.9;433.5
002;29/06/2021;037;3;30.6;91.8
002;29/06/2021;047;2;31.48;62.96
012;29/06/2021;047;2;20.37;40.74
001;29/06/2021;047;8;17.59;140.72
002;30/06/2021;008;5;28.9;144.5
002;30/06/2021;039;3;29.75;89.25
012;30/06/2021;001;4;20.24;80.96
001;30/06/2021;001;6;17.48;104.88
003;30/06/2021;001;2;26.68;53.36
002;02/07/2021;013;10;28.9;289
002;02/07/2021;031;5;36.25;181.25
065;02/07/2021;031;1;15.99;15.99
029;03/07/2021;010;4;12.75;51
002;03/07/2021;010;5;28.9;144.5
029;05/07/2021;026;20;13.8;276
002;05/07/2021;026;40;31.28;1251.2
013;05/07/2021;026;10;36.8;368
021;05/07/2021;026;10;15.64;156.4
002;08/07/2021;020;15;28.9;433.5
002;08/07/2021;008;5;28.9;144.5
002;08/07/2021;018;5;28.9;144.5
002;08/07/2021;033;4;31.9;127.6
002;08/07/2021;016;2;32.4;64.8
029;10/07/2021;014;3;12.75;38.25
002;10/07/2021;037;4;30.15;120.6
002;10/07/2021;048;2;31.4;62.8
012;10/07/2021;035;2;18.7;37.4
001;10/07/2021;035;10;16.15;161.5
001;10/07/2021;014;7;16.15;113.05
065;10/07/2021;035;8;12.75;102
065;10/07/2021;014;3;12.75;38.25
017;10/07/2021;014;3;11.9;35.7
029;13/07/2021;049;3;12.75;38.25
002;13/07/2021;010;6;28.9;173.4
012;13/07/2021;049;2;18.7;37.4
001;13/07/2021;049;3;16.15;48.45
002;14/07/2021;020;15;28.9;433.5
002;14/07/2021;016;2;32.4;64.8
063;15/07/2021;051;1;16;16
029;15/07/2021;051;5;15;75
025;15/07/2021;051;1;20;20
002;15/07/2021;008;6;28.9;173.4
015;15/07/2021;051;1;16;16
014;15/07/2021;051;1;45;45
012;15/07/2021;051;4;22;88
001;15/07/2021;051;4;19;76
075;15/07/2021;051;1;29.9;29.9
065;15/07/2021;051;1;15;15
027;15/07/2021;051;1;39;39
022;15/07/2021;051;1;12;12
021;15/07/2021;051;2;17;34
019;15/07/2021;051;1;12;12
017;15/07/2021;051;1;14;14
025;16/07/2021;035;5;15;75
002;16/07/2021;014;2;28.9;57.8
001;16/07/2021;035;10;16.15;161.5
001;16/07/2021;014;1;14.45;14.45
028;16/07/2021;035;1;13.6;13.6
023;16/07/2021;035;5;12.75;63.75
019;16/07/2021;035;2;10.2;20.4
016;16/07/2021;035;5;12.75;63.75
079;19/07/2021;052;1;60;60
025;19/07/2021;052;3;17;51
002;19/07/2021;052;2;28.9;57.8
001;19/07/2021;052;5;16.15;80.75
027;19/07/2021;052;2;33.15;66.3
021;19/07/2021;052;2;14.45;28.9
019;19/07/2021;052;2;10.2;20.4
029;20/07/2021;026;9;12.75;114.75
002;20/07/2021;026;30;28.9;867
065;21/07/2021;051;4;15;60
021;21/07/2021;051;4;17;68
017;21/07/2021;051;4;14;56
029;22/07/2021;014;4;12.75;51
029;22/07/2021;010;2;12.75;25.5
002;22/07/2021;010;6;28.9;173.4
002;22/07/2021;008;5;28.9;144.5
002;22/07/2021;054;2;28.9;57.8
002;22/07/2021;033;2;28.9;57.8
002;22/07/2021;047;2;28.9;57.8
013;22/07/2021;054;1;34;34
012;22/07/2021;014;4;18.7;74.8
012;22/07/2021;047;2;18.7;37.4
001;22/07/2021;047;10;16.15;161.5
001;22/07/2021;014;6;16.15;96.9
001;22/07/2021;033;1;16.15;16.15
065;22/07/2021;014;3;12.75;38.25
065;22/07/2021;014;1;12.75;12.75
017;22/07/2021;014;3;11.9;35.7
017;22/07/2021;014;1;11.9;11.9
029;23/07/2021;026;20;12.75;255
029;23/07/2021;030;4;12.75;51
002;23/07/2021;026;30;28.9;867
002;23/07/2021;030;5;28.9;144.5
002;23/07/2021;028;3;28.9;86.7
015;23/07/2021;028;7;13.6;95.2
015;23/07/2021;030;3;13.6;40.8
013;23/07/2021;026;15;34;510
013;23/07/2021;028;3;34;102
013;23/07/2021;030;2;34;68
072;23/07/2021;030;1;53.47;53.47
070;23/07/2021;030;1;56.7;56.7
002;25/07/2021;008;4;28.9;115.6
029;27/07/2021;056;2;12.75;25.5
025;27/07/2021;056;1;17;17
002;27/07/2021;056;2;28.9;57.8
015;27/07/2021;056;1;13.6;13.6
013;27/07/2021;056;1;34;34
017;27/07/2021;056;1;11.9;11.9
016;27/07/2021;056;1;12.75;12.75
002;28/07/2021;018;6;28.9;173.4
002;28/07/2021;016;2;28.9;57.8
002;29/07/2021;020;15;28.9;433.5
002;29/07/2021;020;9;28.9;260.1
002;29/07/2021;008;6;28.9;173.4
074;30/07/2021;057;1;23.92;23.92
060;30/07/2021;057;2;12.8;25.6
029;30/07/2021;057;3;12;36
025;30/07/2021;057;1;16;16
002;30/07/2021;044;10;28.9;289
002;30/07/2021;057;4;27.2;108.8
015;30/07/2021;057;3;12.8;38.4
013;30/07/2021;044;3;34;102
013;30/07/2021;057;2;32;64
001;30/07/2021;057;6;19.06;114.36
001;30/07/2021;044;6;16.15;96.9
001;30/07/2021;057;5;15.2;76
075;30/07/2021;057;1;23.92;23.92
068;30/07/2021;057;1;8;8
065;30/07/2021;057;2;12;24
022;30/07/2021;057;1;9.6;9.6
017;30/07/2021;057;1;11.2;11.2
079;31/07/2021;014;1;50;50
002;31/07/2021;033;3;28.9;86.7
015;31/07/2021;058;1;16;16
012;31/07/2021;058;1;22;22
001;31/07/2021;058;1;19;19
075;31/07/2021;014;1;25.42;25.42
079;02/08/2021;044;4;50;200
029;02/08/2021;010;4;12.75;51
002;02/08/2021;022;10;28.9;289
002;02/08/2021;010;6;28.9;173.4
002;02/08/2021;037;3;28.9;86.7
002;02/08/2021;048;2;28.9;57.8
013;02/08/2021;044;3;34;102
075;02/08/2021;044;6;19.9;119.4
079;05/08/2021;057;0.2;60;12
062;05/08/2021;057;1;12.8;12.8
004;05/08/2021;057;1;32;32
029;05/08/2021;057;3;12;36
025;05/08/2021;057;3;16;48
002;05/08/2021;057;6;27.2;163.2
002;05/08/2021;059;2;34;68
015;05/08/2021;057;1;12.8;12.8
012;05/08/2021;051;3;22;66
012;05/08/2021;057;1;17.6;17.6
001;05/08/2021;057;4;15.2;60.8
001;05/08/2021;051;3;19;57
068;05/08/2021;051;1;62;62
065;05/08/2021;051;3;15;45
028;05/08/2021;057;3;12.8;38.4
027;05/08/2021;057;1;31.2;31.2
023;05/08/2021;057;1;12;12
019;05/08/2021;051;4;12;48
019;05/08/2021;057;1;9.6;9.6
017;05/08/2021;057;1;11.2;11.2
029;06/08/2021;026;30;12.75;382.5
025;06/08/2021;026;12;17;204
002;06/08/2021;026;30;28.9;867
002;06/08/2021;013;10;28.9;289
002;06/08/2021;020;8;28.9;231.2
002;06/08/2021;020;7;28.9;202.3
002;06/08/2021;016;2;32.4;64.8
015;06/08/2021;026;10;13.6;136
013;06/08/2021;026;9;34;306
021;06/08/2021;026;10;14.45;144.5
017;06/08/2021;026;6;11.9;71.4
016;06/08/2021;026;6;12.75;76.5
063;10/08/2021;060;1;13.6;13.6
029;10/08/2021;060;1;12.75;12.75
002;10/08/2021;047;2;28.9;57.8
012;10/08/2021;047;2;18.7;37.4
012;10/08/2021;060;1;18.7;18.7
012;10/08/2021;053;1;18.7;18.7
001;10/08/2021;047;10;16.15;161.5
001;10/08/2021;053;3;16.15;48.45
001;10/08/2021;060;1;16.15;16.15
075;10/08/2021;053;1;25.42;25.42
065;10/08/2021;053;3;12.75;38.25
065;10/08/2021;060;1;12.75;12.75
022;10/08/2021;060;1;10.2;10.2
021;10/08/2021;060;1;16.15;16.15
019;10/08/2021;060;1;10.2;10.2
079;11/08/2021;057;1;45;45
076;11/08/2021;057;1;10;10
063;11/08/2021;057;1;12.8;12.8
062;11/08/2021;057;1;12.8;12.8
060;11/08/2021;057;1;12.8;12.8
029;11/08/2021;014;2;12.75;25.5
029;11/08/2021;057;1;12;12
025;11/08/2021;051;2;20;40
002;11/08/2021;008;7;28.9;202.3
002;11/08/2021;057;3;27.2;81.6
002;11/08/2021;016;2;28.9;57.8
002;11/08/2021;051;1;34;34
015;11/08/2021;051;2;16;32
015;11/08/2021;057;2;12.8;25.6
012;11/08/2021;014;6;18.7;112.2
001;11/08/2021;014;6;16.15;96.9
001;11/08/2021;051;4;19;76
001;11/08/2021;057;4;15.2;60.8
080;11/08/2021;057;2;12;24
080;11/08/2021;051;1;15;15
080;11/08/2021;057;1;12;12
075;11/08/2021;051;2;29.9;59.8
065;11/08/2021;014;2;12.75;25.5
028;11/08/2021;014;1;13.6;13.6
028;11/08/2021;057;1;12.8;12.8
027;11/08/2021;057;1;31.2;31.2
023;11/08/2021;014;1;12.75;12.75
023;11/08/2021;057;1;12;12
017;11/08/2021;051;4;14;56
017;11/08/2021;057;1;11.2;11.2
074;13/08/2021;052;1;25.42;25.42
071;13/08/2021;053;10;51.86;518.6
002;13/08/2021;052;2;28.9;57.8
015;13/08/2021;052;1;13.6;13.6
001;13/08/2021;052;3;16.15;48.45
080;13/08/2021;052;2;12.75;25.5
075;13/08/2021;052;1;25.42;25.42
028;13/08/2021;052;1;13.6;13.6
022;13/08/2021;052;1;10.2;10.2
021;13/08/2021;052;1;16.15;16.15
016;13/08/2021;052;2;12.75;25.5
001;14/08/2021;035;5;16.15;80.75
065;14/08/2021;035;5;12.75;63.75
029;17/08/2021;010;4;12.75;51
002;17/08/2021;026;40;28.9;1156
002;17/08/2021;020;20;28.9;578
002;17/08/2021;010;6;28.9;173.4
002;17/08/2021;037;3;28.9;86.7
002;17/08/2021;048;2;28.9;57.8
031;19/08/2021;057;1;32;32
029;19/08/2021;057;4;12;48
029;19/08/2021;051;3;15;45
026;19/08/2021;057;1;25.6;25.6
025;19/08/2021;057;4;16;64
025;19/08/2021;051;3;20;60
002;19/08/2021;057;8;27.2;217.6
002;19/08/2021;008;6;28.9;173.4
002;19/08/2021;033;2;28.9;57.8
018;19/08/2021;057;1;36;36
015;19/08/2021;051;3;16;48
015;19/08/2021;057;3;12.8;38.4
012;19/08/2021;051;1;22;22
001;19/08/2021;057;3;15.2;45.6
001;19/08/2021;033;1;16.15;16.15
080;19/08/2021;057;2;12;24
065;19/08/2021;051;2;15;30
065;19/08/2021;057;1;12;12
028;19/08/2021;057;1;12.8;12.8
022;19/08/2021;057;1;9.6;9.6
021;19/08/2021;051;2;19;38
021;19/08/2021;051;1;17;17
021;19/08/2021;057;1;15.2;15.2
